Qty;Value;Device;Package;Parts;Description;;
4;;LED3MM;LED3MM;LED1, LED2, LED3, LED4;LED;;
2;;MMBT3904LT1-NPN-SOT23-BEC;SOT23-BEC;Q1, Q5;NPN Transistror;;
5;1.0k;R-US_R0603;R0603;R32, R34, R38, R43, R55;RESISTOR, American symbol;;
4;100;R-US_R0603;R0603;R1, R2, R5, R33;RESISTOR, American symbol;;
3;100k;R-US_R0603;R0603;R4, R13, R56;RESISTOR, American symbol;;
4;100n;C-EUC0805;C0805;C1, C2, C3, C7;CAPACITOR, European symbol;;
2;100n;C-USC0603;C0603;C27, C28;CAPACITOR, American symbol;;
2;100p;C-USC0603;C0603;C21, C22;CAPACITOR, American symbol;;
4;10k;POT_USVERTICAL;ALPS_POT_VERTICAL;POT_A0, POT_A1, POT_A2, POT_A3;;;
3;10k;R-US_R0603;R0603;R3, R6, R7;RESISTOR, American symbol;;
3;10u;CPOL-EUE2.5-5;E2,5-5;C4, C5, C6;POLARIZED CAPACITOR, European symbol;;
4;1K;R-EU_R0603;R0603;RC1, RC2, RC3, RC4;RESISTOR, European symbol;;
2;1N5819HW;DIODE-SOD123;SOD123;D1, D2;DIODE;;
1;47k;R-US_R0603;R0603;R50;RESISTOR, American symbol;;
2;39k;R-US_R0603;R0603;R45, R46;RESISTOR, American symbol;;
1;47p;C-USC0603;C0603;C29;CAPACITOR, American symbol;;
2;47u;CPOL-USD;PANASONIC_D;C25, C30;POLARIZED CAPACITOR, American symbol;;
1;4921;MCP4921SO08;SO08;IC4;;;
4;74AHCT1G125DBV;74AHCT1G125DBV;SOT23-5;IC5, IC7, IC8, IC11;Single Bus Buffer Gate with 3-State Output;;
1;7805DT;7805DT;TO252;IC2;Positive VOLTAGE REGULATOR;;
1;ATMEGA88PA-AU;ATMEGA168;TQFP32-08;IC6;;;
1;AVRISP;AVR_SPI_PRG_6PTH;2X3;AVR_ISP;AVR ISP 6 Pin;;
8;LL4148;LL4148;SOD80_DO213AA_MINIMELF;D3, D4, D5, D6, D7, D8, D9, D10;1N4148 General Purpose Rectifie;;
1;M05X2PTH;M05X2PTH;AVR_ICSP;JP1;Header 5x2;;
1;RESONATORSMD;RESONATORSMD;RESONATOR-SMD;Y1;Resonator;;
1;TL072;TL072D;SO08;IC10;OP AMP;;
11;WQP-PJ301M-12_JACK;WQP-PJ301M-12_JACK;WQP-PJ301M-12_JACK;AUDIO_OUT, CLOCK_IN, CV_A0, CV_A1, CV_A2, CV_A3, DIO4_OUT, DIO5_OUT, DIO6_OUT, DIO7_OUT, RESET;;;
